epoch,global_step,drift_pct,P_sink,E_src,residual,dTWC_dt,P_ratio
39,5851,-0.740325,17191000000.0,-17271750000.0,-130001250.0,210753000.0,0.99259675
39,5901,0.43402499999999994,17132250000.0,-17351000000.0,72987000.0,145846875.0,1.00434025
39,5951,-0.32295,17022500000.0,-17204250000.0,-53094450.0,234393750.0,0.9967705
40,6001,-0.5453,17252750000.0,-17447500000.0,-93140050.0,288155000.0,0.9945470000000001
40,6051,-0.9093749999999999,17260750000.0,-17438500000.0,-157487500.0,335437500.0,0.99090625
40,6101,-1.0296,17333500000.0,-17280000000.0,-180850000.0,127289500.0,0.989704
41,6151,-1.06215,16767250000.0,-16965750000.0,-176535000.0,375087500.0,0.9893785
41,6201,0.181425,17402250000.0,-17558000000.0,32612750.0,123309000.0,1.00181425
41,6251,-0.12617499999999998,16890000000.0,-17059250000.0,-20928750.0,190098800.0,0.9987382499999999
42,6301,1.23475,17359250000.0,-17257750000.0,213962500.0,-315097500.0,1.0123475
42,6351,0.6046750000000001,16924000000.0,-17074250000.0,104498250.0,46108500.0,1.0060467499999999
42,6401,0.292825,17141750000.0,-17221750000.0,51177500.0,28993000.0,1.00292825
43,6451,-0.126,17367250000.0,-17361500000.0,-24391250.0,18757500.0,0.99874
43,6501,0.205475,17140750000.0,-17262000000.0,34416000.0,86826500.0,1.00205475
43,6551,0.17704999999999999,17276250000.0,-17494500000.0,32330500.0,185846550.0,1.0017705000000001
44,6601,-0.169075,17244250000.0,-17469750000.0,-34610000.0,260075000.0,0.9983092499999999
44,6651,0.0728,17115250000.0,-17068250000.0,11498925.0,-58402000.0,1.000728
44,6701,0.351075,17341250000.0,-17412250000.0,62635750.0,8251500.0,1.00351075
45,6751,0.44945,17337750000.0,-17180000000.0,80170250.0,-237913000.0,1.0044945
45,6801,0.445425,17083250000.0,-17231000000.0,73932250.0,74060500.0,1.00445425
45,6851,0.40647500000000003,16974500000.0,-17394750000.0,67932500.0,352142500.0,1.00406475
46,6901,1.08365,17007250000.0,-17103500000.0,178882250.0,-82627500.0,1.0108365
46,6951,-0.56335,17059750000.0,-17421500000.0,-95775550.0,457470000.0,0.9943665
46,7001,-1.79295,17336750000.0,-17319750000.0,-314500000.0,297728277.5,0.9820705
47,7051,-1.5772,17257250000.0,-17456500000.0,-273090000.0,472555000.0,0.984228
47,7101,-0.30117499999999997,17253250000.0,-17448250000.0,-53393000.0,248460750.0,0.99698825
47,7151,-0.8133750000000001,17184250000.0,-17244750000.0,-138434750.0,199085500.0,0.99186625
48,7201,0.926425,17248250000.0,-17412250000.0,158501750.0,5236000.0,1.00926425
48,7251,-0.11032500000000002,17085250000.0,-17538250000.0,-14329000.0,467272000.0,0.9988967499999999
48,7301,0.44937499999999997,17045000000.0,-17172000000.0,72873000.0,54069250.0,1.00449375
49,7351,0.232125,17329000000.0,-17368750000.0,39475550.0,466750.0,1.00232125
49,7401,-0.609,17259500000.0,-17315250000.0,-105518000.0,161533500.0,0.9939100000000001
49,7451,1.2141250000000001,17095500000.0,-17261250000.0,204722250.0,-39170500.0,1.01214125
50,7501,0.4325,17286000000.0,-17492500000.0,76716350.0,129817250.0,1.0043250000000001
50,7551,0.66715,17029000000.0,-17119750000.0,111848000.0,-21124425.0,1.0066715
50,7601,-0.350625,17143000000.0,-17261750000.0,-57866500.0,176729000.0,0.99649375
51,7651,-0.34335000000000004,17273750000.0,-17538750000.0,-59185500.0,324092000.0,0.9965664999999999
51,7701,-0.78535,17367250000.0,-17582000000.0,-135342500.0,349762500.0,0.9921465
51,7751,1.482825,17153750000.0,-17476250000.0,254855000.0,67659750.0,1.01482825
52,7801,0.549075,17063500000.0,-17378000000.0,90565750.0,224211500.0,1.00549075
52,7851,0.30205,17052250000.0,-17173250000.0,50892750.0,69897500.0,1.0030205
52,7901,0.645025,17100000000.0,-17181750000.0,107822500.0,-26085000.0,1.0064502499999999
53,7951,0.0617,17346500000.0,-17424750000.0,13086475.0,65281250.0,1.000617
53,8001,-0.936175,17071250000.0,-17244000000.0,-158207750.0,331247500.0,0.99063825
53,8051,-0.21082499999999998,17054250000.0,-17235750000.0,-35817000.0,217549000.0,0.99789175
