time,dTWC_dt,E_src,P_sink,residual,drift_pct
1980-01-15 00:00:00,55054508.0,-17373294592.0,17765257216.0,-447016960.0,-2.5162425433244007
1980-01-15 06:00:00,-318820672.0,-17249810432.0,17307117568.0,261513216.0,1.5110154245645442
1980-01-15 12:00:00,35834508.0,-18021980160.0,17898594304.0,87552000.0,0.4891557320813388
1980-01-15 18:00:00,86134344.0,-18443868160.0,18382166016.0,-24432640.0,-0.1329149131758119
1980-01-16 00:00:00,49351272.0,-17290827776.0,17413175296.0,-171698176.0,-0.9860245077728068
1980-01-16 06:00:00,143289024.0,-17379428352.0,16839137280.0,397002752.0,2.357619309105128
1980-01-16 12:00:00,577689984.0,-18158682112.0,17589778432.0,-8785920.0,-0.049949008931325235
1980-01-16 18:00:00,363497408.0,-18436689920.0,18305222656.0,-232030208.0,-1.2675628827926124
1980-01-17 00:00:00,-208903776.0,-17126157312.0,17732055040.0,-396994560.0,-2.238852513735486
1980-01-17 06:00:00,-241702496.0,-16985979904.0,16694005760.0,533676032.0,3.196812314985088
1980-01-17 12:00:00,678641408.0,-17744023552.0,16833202176.0,232179712.0,1.37929616464199
1980-01-17 18:00:00,652412992.0,-18182907904.0,17779085312.0,-248590336.0,-1.3982178027584684
1980-01-18 00:00:00,141521728.0,-17122183168.0,17322375168.0,-341713920.0,-1.972673589423554
1980-01-18 06:00:00,-44462508.0,-17189789696.0,16914490368.0,319761408.0,1.890458423772239
1980-01-18 12:00:00,375789792.0,-18134343680.0,17709834240.0,48719872.0,0.27510066632899216
1980-01-18 18:00:00,224611104.0,-18594115584.0,18437562368.0,-68057088.0,-0.36912194053438985
1980-01-19 00:00:00,43994392.0,-17515993088.0,17766823936.0,-294825984.0,-1.6594186167546203
1980-01-19 06:00:00,-220640928.0,-17541314560.0,17575524352.0,186431488.0,1.060744955690526
1980-01-19 12:00:00,-11068220.0,-18402330624.0,18407305216.0,6092800.0,0.03309990206879394
1980-01-19 18:00:00,-101015992.0,-18687946752.0,18753136640.0,35825664.0,0.19103824969517205
1980-01-20 00:00:00,2963145.25,-17452408832.0,17617104896.0,-167659520.0,-0.9516859948882261
1980-01-20 06:00:00,24319738.0,-17337653248.0,17044950016.0,268383232.0,1.57456156661105
1980-01-20 12:00:00,485722016.0,-17929490432.0,17286295552.0,157472768.0,0.9109688511705484
1980-01-20 18:00:00,632766656.0,-18064003072.0,17470382080.0,-39145472.0,-0.22406763527406495
1980-01-21 00:00:00,347330496.0,-16739482624.0,16925622272.0,-533470208.0,-3.1518498961336148
1980-01-21 06:00:00,-237488848.0,-16537677824.0,16543782912.0,231384064.0,1.3986164182084742
1980-01-21 12:00:00,282371680.0,-17242738688.0,16768315392.0,192051200.0,1.1453219689058673
1980-01-21 18:00:00,272664672.0,-17510703104.0,17436463104.0,-198424576.0,-1.1379863841450766
1980-01-22 00:00:00,-296853696.0,-16236439552.0,17111843840.0,-578550784.0,-3.380996165051492
1980-01-22 06:00:00,-1045213248.0,-16055463936.0,17047923712.0,52753408.0,0.3094418352122668
1980-01-22 12:00:00,-797050880.0,-16803588096.0,17317976064.0,282662912.0,1.6321936868107223
1980-01-22 18:00:00,-307249792.0,-17054383104.0,17237037056.0,124596224.0,0.7228401470346064
1980-01-23 00:00:00,-336162848.0,-15776671744.0,16543836160.0,-431001600.0,-2.6052095525588186
1980-01-23 06:00:00,-789584128.0,-15566662656.0,16201500672.0,154745856.0,0.9551328554856477
1980-01-23 12:00:00,-513932256.0,-16230435840.0,16658367488.0,86000640.0,0.5162609124930838
1980-01-23 18:00:00,-547440320.0,-16442073088.0,17072711680.0,-83197952.0,-0.48731539288783915
1980-01-24 00:00:00,-690429696.0,-15427494912.0,16241293312.0,-123368448.0,-0.7595974386402363
